user_id,level_id,action_timestamp,action_type,dwell_time,dropout_flag,information_density,user_familiarity
user_001,1,2026-07-10 09:00:00,enter,1.86,0,6,4
user_001,1,2026-07-10 09:00:01,exit,0.44,1,6,4
user_002,5,2026-07-10 09:00:28,enter,3.31,0,6,2
user_002,5,2026-07-10 09:00:31,exit,0.86,1,6,2
user_003,5,2026-07-10 09:01:04,enter,1.76,0,6,3
user_003,5,2026-07-10 09:01:06,click,4.21,0,10,3
user_003,5,2026-07-10 09:01:10,exit,1.15,0,10,3
user_004,1,2026-07-10 09:02:08,enter,3.84,0,6,1
user_004,1,2026-07-10 09:02:12,exit,1.55,1,6,1
user_005,3,2026-07-10 09:02:55,enter,2.23,0,6,1
user_005,3,2026-07-10 09:02:58,click,5.29,0,1,1
user_005,3,2026-07-10 09:03:03,click,2.54,0,1,1
user_005,4,2026-07-10 09:03:06,click,2.94,0,6,1
user_005,5,2026-07-10 09:03:08,click,3.78,0,5,1
user_005,5,2026-07-10 09:03:12,exit,1.29,0,5,1
user_006,4,2026-07-10 09:03:39,enter,2.64,0,6,4
user_006,4,2026-07-10 09:03:41,click,4.26,0,9,4
user_006,5,2026-07-10 09:03:45,click,6.0,0,9,4
user_006,5,2026-07-10 09:03:51,click,5.95,0,1,4
user_006,5,2026-07-10 09:03:57,click,5.38,0,7,4
user_006,5,2026-07-10 09:04:03,click,3.8,0,1,4
user_006,5,2026-07-10 09:04:07,exit,1.21,0,1,4
user_007,2,2026-07-10 09:04:28,enter,2.13,0,6,2
user_007,2,2026-07-10 09:04:30,click,2.2,0,6,2
user_007,3,2026-07-10 09:04:32,click,2.31,0,3,2
user_007,4,2026-07-10 09:04:34,click,4.21,0,10,2
user_007,4,2026-07-10 09:04:39,click,3.03,0,9,2
user_007,5,2026-07-10 09:04:42,click,5.1,0,6,2
user_007,5,2026-07-10 09:04:47,click,2.64,0,8,2
user_007,5,2026-07-10 09:04:49,click,3.17,0,5,2
user_007,5,2026-07-10 09:04:53,exit,0.84,0,5,2
user_008,3,2026-07-10 09:05:10,enter,3.82,0,6,1
user_008,3,2026-07-10 09:05:14,click,3.56,0,7,1
user_008,3,2026-07-10 09:05:18,click,3.94,0,7,1
user_008,3,2026-07-10 09:05:22,click,2.42,0,10,1
user_008,4,2026-07-10 09:05:24,click,4.04,0,7,1
user_008,4,2026-07-10 09:05:28,click,4.78,0,8,1
